id,task,timesheetdate,comments,employee_id,created_at,updated_at,is_billed,hours,rate,workspace,project_id,client_id,role_id
18,Agronomy project : working on cube and reconciliation,2015-10-01,NULL,5,2015-11-05,2015-11-05,0,8,25,NULL,28,12,56
19,Meetings and discussions.,2015-10-01,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
20,Cube clean up and reconciliation,2015-10-02,in hive,4,2015-11-05,2015-11-05,1,6,40,NULL,28,12,28
21,SBA Issues,2015-10-02,Adding 1 Hour for Analysis from Lokesh,21,2015-11-05,2015-11-05,0,2,62.5,NULL,28,12,60
22,Bugzilla issues - MFR & postioning,2015-10-02,NULL,21,2015-11-05,2015-11-05,1,3.5,1875,NULL,18,5,51
23,Gandhi Jayanthi,2015-10-02,NULL,2,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
24,Gandhi Jayanthi,2015-10-02,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
25,Gandhi Jayanthi,2015-10-02,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
26,Gandhi Jayanthi,2015-10-02,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
27,Gandhi Jayanthi,2015-10-02,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
28,Gandhi Jayanthi,2015-10-02,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
29,Gandhi Jayanthi,2015-10-02,NULL,5,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
30,National Holiday,2015-10-02,NULL,9,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
31,Gandhi Jayanthi,2015-10-02,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,9,6,11
32,Cube clean up and reconciliation - Potato Quality Report,2015-10-03,in hive,4,2015-11-05,2015-11-05,1,6,40,NULL,28,12,28
33,Reconilliation issues + Potato Quality Report,2015-10-03,Converted to 320 rate,21,2015-11-05,2015-11-05,0,6,62.5,NULL,28,12,60
34,Entries from 2 and 3 oct at 320 rate,2015-10-03,in hive,21,2015-11-05,2015-11-05,1,12.5,40,NULL,28,12,28
35,"Testing WACP, Server Support",2015-10-03,NULL,9,2015-11-05,2015-11-05,1,6,750,NULL,26,4,53
36,Cube clean up and reconciliation - PPV report,2015-10-04,in hive,4,2015-11-05,2015-11-05,1,3,40,NULL,28,12,28
37,Comvita Datawarehouse ETL enhancement design: understanding the project and extraction layer table changes,2015-10-05,NULL,5,2015-11-05,2015-11-05,1,4,25,NULL,12,12,2003
38,"Stream Lookup for certain fields (Stock Package), issue handling and reloading of records after making changes to Stock job",2015-10-05,NULL,11,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
39,Bugzilla issues,2015-10-05,Carried Over,21,2015-11-05,2015-11-05,1,5,1875,NULL,18,5,51
40,Access is given to users for reports like retail and supply,2015-10-05,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
41,Testing on stock report for Zirakpur and Anubhava store,2015-10-05,Radhika K,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
42,Testing on transaction and stock for zirakpur store,2015-10-05,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
43,Testing on sales for last week for all the stores,2015-10-05,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
44,On Leave,2015-10-05,NULL,2,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
45,Testing on North zone report,2015-10-05,Radhika K,9,2015-11-05,2015-11-05,1,4,750,NULL,26,4,53
46,"Introduction,SQL syntax rules,Statement types, Dynamic and static SQL, Constraints Views, Where clause",2015-10-05,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
47,"Introduction,SQL syntax rules,Statement types, Dynamic and static SQL, Constraints Views, Where clause",2015-10-05,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
48,Checking Amritsar Sales and loading (retial DB down),2015-10-05,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
49,Going Live with WACP Fix - Implementation and testing discussion,2015-10-05,NULL,21,2015-11-05,2015-11-05,1,3,875,NULL,26,4,5
50,Bugzilla issues - MFR & postioning,2015-10-05,NULL,21,2015-11-05,2015-11-05,1,6,1875,NULL,18,5,51
51,SQL training ,2015-10-05,NULL,6,2015-11-05,2015-11-05,0,5,0,NULL,30,7,49
52,Customer Profiling Analytics Prototype using Tableau ,2015-10-05,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,6,10,31
53,Comvita Datawarehouse ETL enhancement design: sql layer changes,2015-10-05,NULL,5,2015-11-05,2015-11-05,1,4,25,NULL,12,12,2003
54,"Apex Dashboard requirements, meetings, build and setup",2015-10-05,NULL,10,2015-11-05,2015-11-05,1,8,1500,NULL,7,5,45
55,"Apex Dashboard requirements, meetings, build and setup",2015-10-05,NULL,6,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
56,Pending cube and view changes and prepare for deployment,2015-10-05,in hive,4,2015-11-05,2015-11-05,1,1.5,40,NULL,28,12,28
57,SQL Training,2015-10-05,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
58,"Distinct Top,  order by and group by, Views, Sub queries, Update , Union, Delete , Truncate, Drop ",2015-10-06,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
59,"Distinct Top,  order by and group by, Views, Sub queries, Update , Union, Delete , Truncate, Drop ",2015-10-06,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
60,"Distinct Top,  order by and group by, Views, Sub queries, Update , Union, Delete , Truncate, Drop ",2015-10-06,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
61,Meetings in Chennai,2015-10-06,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,22,2,1
62,IsRuptureRecord moved to FactAttributes in Data Model Optimisation.,2015-10-06,NULL,21,2015-11-05,2015-11-05,1,5,875,NULL,26,4,5
63,Computed Stock for Zirakpur and Baroda Store,2015-10-06,NULL,11,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
64,Testing on stock report on 4th October for Zirakpur and Anubhava stores.,2015-10-06,Radhika K,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
65,Testing on sales from 24th to 4th October for all the stores,2015-10-06,Radhika K,9,2015-11-05,2015-11-05,1,3,750,NULL,26,4,53
66,Testing on stock and transactions for Zirakpur.,2015-10-06,Radhika K,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
67,Access is given to users for Retail and Supply.,2015-10-06,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
68,Testing on North zone report for sales and CSAT.,2015-10-06,Radhika K,9,2015-11-05,2015-11-05,1,1.5,750,NULL,26,4,53
69,"QlikView Performance testing, Cheklist, CSAT changes",2015-10-06,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
70,Loading sales data for bannerghatta stores(first loaded order/oderline stage tables and then fact.sales),2015-10-06,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
71,SQL training ,2015-10-06,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,30,7,49
72,Customer Profiling Analytics Prototype using Tableau ,2015-10-06,NULL,6,2015-11-05,2015-11-05,0,5,0,NULL,6,10,31
73,Comvita Datawarehouse ETL enhancement design: sql extraction layer changes,2015-10-06,NULL,5,2015-11-05,2015-11-05,1,2,25,NULL,12,12,2003
74,Comvita Datawarehouse ETL enhancement design: SSIS extraction layer changes,2015-10-06,NULL,5,2015-11-05,2015-11-05,1,6,25,NULL,12,12,2003
75,"Apex Dashboard requirements, meetings, build and setup",2015-10-06,NULL,6,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
76,SQL Training,2015-10-06,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
77,"Joins, Aliasis, Information Schema, Variables",2015-10-07,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
78,"Joins, Aliasis, Information Schema, Variables",2015-10-07,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
79,"Joins, Aliasis, Information Schema, Variables",2015-10-07,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
80,"Access given to users for Retail,Supply and Ad-hoc.",2015-10-07,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
81,Testing on Zirakpur store for B Twin.,2015-10-07,Radhika K,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
82,Started replicating the sales tab (Training).,2015-10-07,Radhika K,9,2015-11-05,2015-11-05,0,2,0,NULL,27,10,17
83,Basics of Incremental data loads Tutorial.,2015-10-07,Radhika K,9,2015-11-05,2015-11-05,0,2,0,NULL,27,10,17
84,QlikView Tutorial,2015-10-07,Radhika K,9,2015-11-05,2015-11-05,0,1,0,NULL,27,10,17
85,"SAP BW investigation, call with France team",2015-10-07,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
86,"Testing computed stock for Baroda and Zirakpur Store. (Summation Error), SSIS Basics",2015-10-07,NULL,11,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
87,"Research on data migration from SAP ,Postgresql and MSSQL",2015-10-07,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
88,SQL training ,2015-10-07,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,30,7,49
89,Customer Profiling Analytics Prototype using Tableau ,2015-10-07,NULL,6,2015-11-05,2015-11-05,0,5,0,NULL,6,10,31
90,"Newfeel Stock Value Issue debugging, Bike Accessories Stock Issue",2015-10-07,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
91,Comvita Datawarehouse ETL enhancement design: incremental layer changes,2015-10-07,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
92,Pending cube and view changes and prepare for deployment,2015-10-07,in hive,4,2015-11-05,2015-11-05,1,3,40,NULL,28,12,28
93,Call with Alec and issues,2015-10-07,NULL,4,2015-11-05,2015-11-05,1,1,25,NULL,8,11,18
94,Cumulative time spent on Adams,2015-10-07,NULL,4,2015-11-05,2015-11-05,0,2,0,NULL,14,7,22
95,SQL Training,2015-10-07,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
96,"if else, case, while , stored procedures",2015-10-08,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
97,"If else, case, while , stored procedures",2015-10-08,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
98,"If else, case, while , stored procedures",2015-10-08,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
99,"If else, case, while , stored procedures",2015-10-08,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
100,SQL training ,2015-10-08,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,30,7,49
101,meeting with abishek and Siddharth on Retail KPIs ,2015-10-08,NULL,6,2015-11-05,2015-11-05,0,2,0,NULL,21,7,19
102,Customer Profiling Analytics Prototype using Tableau ,2015-10-08,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,6,10,31
103,SSIS (ppt) (Getting started),2015-10-08,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
104,Sales tab replication. And Qlikview tutorials.(Training),2015-10-08,Radhika K,9,2015-11-05,2015-11-05,0,3,0,NULL,27,10,17
105,Access given to users for Retail. And started load for Distribute Ad-hoc report.,2015-10-08,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
106,Category names and tax rates from Retail. Testing on calculation of tax rate.,2015-10-08,Radhika K,9,2015-11-05,2015-11-05,0,4,0,NULL,27,10,17
107,"CSV file genration approaches and investigation, Changes to get landline information",2015-10-08,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
108,feasibility study of postgres & MSSQL with SAP BW,2015-10-08,NULL,21,2015-11-05,2015-11-05,1,12.5,875,NULL,26,4,5
109,CSV Creation Statistics from Pentaho,2015-10-08,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
110,"Data Model Fact Attributes Join 1.1, Retail Rupture Expression Fix, looking into bike accessories stock, Baroda WAPP testing",2015-10-08,NULL,9,2015-11-05,2015-11-05,1,7.5,750,NULL,26,4,53
111,Comvita Datawarehouse ETL enhancement design: incremental layer changes,2015-10-08,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
112,"Initial discussion with Nilesh, Ritesh and Kannan on Aspire project",2015-10-08,NULL,10,2015-11-05,2015-11-05,1,2,1500,NULL,1036,5,2001
113,Prepare workbooks for testing and reconciliation,2015-10-08,in hive,4,2015-11-05,2015-11-05,1,2,40,NULL,28,12,28
114,Deploy to UAT and fix issues,2015-10-08,in hive,4,2015-11-05,2015-11-05,1,2,40,NULL,28,12,28
115,Report development,2015-10-08,in hive,4,2015-11-05,2015-11-05,1,2,40,NULL,28,12,28
116,ComVita review and work with Abhinav,2015-10-08,in hive,4,2015-11-05,2015-11-05,1,2,40,NULL,12,12,44
117,SQL Training,2015-10-08,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
118,"Initial discussion with Nilesh, Ritesh and Ashiwini on Aspire project",2015-10-08,NULL,21,2015-11-05,2015-11-05,1,2,1500,NULL,1036,5,2001
119,Understanding the product and work around with issues and deployment ,2015-10-09,NULL,6,2015-11-05,2015-11-05,0,9,1125,NULL,1036,5,2002
120,SQL training ,2015-10-09,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
121,Bugzilla issues - MFR & postioning,2015-10-09,NULL,21,2015-11-05,2015-11-05,1,3,1875,NULL,18,5,51
122,Qliksense Executive dashboard,2015-10-09,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
123,Access given to users for Retail and started loaded for Distribute Ad-hoc Report.,2015-10-09,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
124,Comvita Datawarehouse ETL enhancement design: incremental layer changes and testing,2015-10-09,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
125,Testing on tax calculations in Retail.,2015-10-09,Radhika K,9,2015-11-05,2015-11-05,0,7.5,0,NULL,27,10,17
126,Meeting and discussions - checking feasibility of postgres with SAP BW,2015-10-09,NULL,21,2015-11-05,2015-11-05,1,4,875,NULL,26,4,5
127,Exporting CSV from Pentaho (stock Table),2015-10-09,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
128,"Meeting with Virginie Regarding WAPP Fix, Retail Expression Testing and Itemwise debugging, Meeting with ravi, Reloading CC Comparision for BIPP, Rupture Testing Expression-Duplicate ProductIDs Issue",2015-10-09,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
129,Exporting CSV from Pentaho (Sales),2015-10-09,NULL,11,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
130,"Code Walkthrough, Batch File setup for web deploy and SVN setup",2015-10-09,NULL,10,2015-11-05,2015-11-05,1,10,1500,NULL,1036,5,2001
131,Handover and get idea about work start. Prepare auto publish scripts,2015-10-09,NULL,4,2015-11-05,2015-11-05,1,4,1125,NULL,1036,5,2002
132,ComVita review and work with Abhinav,2015-10-09,in hive,4,2015-11-05,2015-11-05,1,2,40,NULL,12,12,44
133,Training discussion and training,2015-10-09,NULL,4,2015-11-05,2015-11-05,0,3,0,NULL,30,7,48
134,SQL Training,2015-10-09,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
135,User management UI Issues fix ,2015-10-10,NULL,6,2015-11-05,2015-11-05,1,8,1125,NULL,1036,5,2002
136,User Management high priority issue fix and setup,2015-10-10,NULL,10,2015-11-05,2015-11-05,1,8,1500,NULL,1036,5,2001
137,Handover and get idea about work start. Prepare auto publish scripts,2015-10-10,NULL,4,2015-11-05,2015-11-05,1,10,1125,NULL,1036,5,2002
138,"Issues categorization , fixes, testing and deployment",2015-10-11,NULL,10,2015-11-05,2015-11-05,1,9,1500,NULL,1036,5,2001
139,Handover and get idea about work start. Prepare auto publish scripts,2015-10-11,NULL,4,2015-11-05,2015-11-05,1,9,1125,NULL,1036,5,2002
140,Review of SQL,2015-10-12,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
141,Review of SQL,2015-10-12,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
142,Review of SQL,2015-10-12,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
143,Bugzilla issues - analysis & update,2015-10-12,NULL,21,2015-11-05,2015-11-05,1,0.5,1875,NULL,18,5,51
144,"Merge, Temp Tables, Review",2015-10-12,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
145,"Merge, Temp Tables, Review",2015-10-12,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
146,"Merge, Temp Tables, Review",2015-10-12,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
147,"Merge, Temp Tables, Review",2015-10-12,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
148,"Access given to users for supply and retail,Started load for Distribute Ad-hoc Report",2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,0.5,750,NULL,26,4,53
149,"Issues categorization , fixes, testing and deployment",2015-10-12,NULL,10,2015-11-05,2015-11-05,1,9.5,1500,NULL,1036,5,2001
150,User management UI Issues fix ,2015-10-12,NULL,6,2015-11-05,2015-11-05,1,9,1125,NULL,1036,5,2002
151,"Bugzilla issues - MFR , postioning & missing obs",2015-10-12,NULL,21,2015-11-05,2015-11-05,1,6,1875,NULL,18,5,51
152,Testing on m_transaction for BIKE ACCESSORIES for the week 18.,2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,0.5,750,NULL,26,4,53
153,Testing on last week's sales for all the stores,2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,2,750,NULL,26,4,53
154,Testing on stock for Zirakpur and Anubhava stores on 11th and 10th October.,2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,2.5,750,NULL,26,4,53
155,Testing on m_transaction for Zirakpur store,2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,0.5,750,NULL,26,4,53
156,Testing on Tax calculation in Retail.,2015-10-12,Radhika K,21,2015-11-05,2015-11-05,0,1.5,750,NULL,26,4,53
157,"Meetings, File data format changes, Qlikview optimization testing",2015-10-12,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
158,"A Codes List updated, Baroda m_transactions issue in WAPP, Bike Accessories Transactions, Stock Isuue in Live, doing full load.",2015-10-12,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
159,ETL enhancement project: Incremental implementation in packages,2015-10-12,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
160,Testing and changes,2015-10-12,in hive,4,2015-11-05,2015-11-05,1,4,40,NULL,12,12,44
161,Adams discussion,2015-10-12,NULL,4,2015-11-05,2015-11-05,0,1,0,NULL,14,7,22
162,"BAPS Issue fixes with worklist, activity and project master",2015-10-12,NULL,4,2015-11-05,2015-11-05,1,4,25,NULL,8,11,18
163,Sick - Off,2015-10-12,NULL,2,2015-11-05,2015-11-05,0,3,0,NULL,31,6,12
164,Sick Leave,2015-10-12,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,31,6,12
165,QlikView Training ,2015-10-12,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
166,"Issues categorization , fixes, testing and deployment",2015-10-13,NULL,10,2015-11-05,2015-11-05,1,10.5,1500,NULL,1036,5,2001
167,"Merge, Temp Tables, Error Handling, case study",2015-10-13,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
168,"Merge, Temp Tables, Error Handling, case study",2015-10-13,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
169,"Merge, Temp Tables, Error Handling, case study",2015-10-13,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
170,"Merge, Temp Tables, Error Handling, case study",2015-10-13,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
171,"Bugzilla issues - missing obs, missing bm & pi tool issues",2015-10-13,NULL,21,2015-11-05,2015-11-05,1,5.5,1875,NULL,18,5,51
172,Access given to users for retail and Started load for Distribute Ad-hoc report .,2015-10-13,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
173,Testing on stock for Zirakpur Store on 11th OCT.,2015-10-13,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
174,Testing on stock for Bike Accessories in retail and supply,2015-10-13,Radhika K,9,2015-11-05,2015-11-05,1,5,750,NULL,26,4,53
175,Tutorial on where exists(Training) and Started doing Review report.,2015-10-13,NULL,8,2015-11-05,2015-11-05,0,4.5,0,NULL,27,10,17
176,Testing on stock for Bike Accessories for week 17 and 18.,2015-10-13,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
177,QlikView CSV Loaders - Stock,2015-10-13,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
178,ETL enhancement project: Testing packages,2015-10-13,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
179,User management UI Issues fix ,2015-10-13,NULL,6,2015-11-05,2015-11-05,1,10,1125,NULL,1036,5,2002
180,System Reminders revamp/change,2015-10-13,NULL,4,2015-11-05,2015-11-05,1,8,25,NULL,8,11,18
181,"Zirakpur Stock Testing, Anubhava Stock Testing, Access, A Codes Change, Fact Attributes change in Data Model",2015-10-13,NULL,21,2015-11-05,2015-11-05,1,4,875,NULL,26,4,5
182,SQL Training,2015-10-13,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
183,QlikView Training ,2015-10-13,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
184,"Cursors, Triggers, Transactions",2015-10-14,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
185,"Cursors, Triggers, Transactions",2015-10-14,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
186,"Cursors, Triggers, Transactions",2015-10-14,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
187,"Cursors, Triggers, Transactions",2015-10-14,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
188,"Issues categorization , fixes, testing and deployment",2015-10-14,NULL,10,2015-11-05,2015-11-05,1,10.5,1500,NULL,1036,5,2001
189,ETL enhancement project: Testing packages,2015-10-14,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
190,User management UI Issues fix ,2015-10-14,NULL,6,2015-11-05,2015-11-05,1,9,1125,NULL,1036,5,2002
191,System Reminders revamp/change,2015-10-14,NULL,4,2015-11-05,2015-11-05,1,8,25,NULL,8,11,18
192,Access given to users for retail and started the load for Distribute ad-hoc report.,2015-10-14,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
193,Changes made in BI Portal for screenshots and done with the review report.,2015-10-14,NULL,8,2015-11-05,2015-11-05,0,5.5,0,NULL,23,8,41
194,Testing on the stock report for CAR and CAC on 13th OCT.,2015-10-14,Radhika K,9,2015-11-05,2015-11-05,1,6,750,NULL,26,4,53
195,"Qlikview CSV Loader - Sales, QlikTech Meeting, Performance Testing",2015-10-14,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
196,Discussions ,2015-10-14,NULL,21,2015-11-05,2015-11-05,1,3,875,NULL,26,4,5
197,"Warehouse Locator Testing from Backup QVDs and live Warehouse locator files,  Qlikview Performance Issue Meeting, retail Optimisation Testing in Dashboard tab",2015-10-14,NULL,21,2015-11-05,2015-11-05,1,6,875,NULL,26,4,5
198,SQL Training,2015-10-14,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
199,QlikView Training ,2015-10-14,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
200,KT and issues fix,2015-10-15,NULL,10,2015-11-05,2015-11-05,1,3,1500,NULL,1036,5,2001
201,ETL enhancement project: Testing packages and documenting,2015-10-15,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
202,Understanding the Medical System in USA using Aspire product,2015-10-15,NULL,6,2015-11-05,2015-11-05,0,8,1125,NULL,1036,5,2002
203,Other changes/issue fixes,2015-10-15,NULL,4,2015-11-05,2015-11-05,1,8,25,NULL,8,11,18
204,"functions, cursors, triggers, pivot",2015-10-15,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
205,"functions, cursors, triggers, pivot",2015-10-15,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
206,"functions, cursors, triggers, pivot",2015-10-15,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
207,"functions, cursors, triggers, pivot",2015-10-15,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
208,Testing on stock for Zirakpur Store on 13th OCT. and Transactions ,2015-10-15,Radhika K,9,2015-11-05,2015-11-05,1,1.5,750,NULL,26,4,53
209,BI Portal model and report,2015-10-15,NULL,8,2015-11-05,2015-11-05,0,4,0,NULL,23,8,41
210,Testing on stock for CAR and CAC on 13th OCT.,2015-10-15,Radhika K,9,2015-11-05,2015-11-05,1,6.5,750,NULL,26,4,53
211,Qlikview CSV - Stock format final changes,2015-10-15,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
212,"Changes in Supply Dashboard for Rupture Changes and testing, StockDB Full load, Warehouse Locators Monitoring",2015-10-15,NULL,21,2015-11-05,2015-11-05,1,4,875,NULL,26,4,5
